Date;Open;High;Low;Close
19.09.2018;111860;111950;111860;111900
19.09.2018;111900;111920;111860;111890
19.09.2018;111900;111910;111850;111890
19.09.2018;111900;111910;111870;111900
19.09.2018;111900;111910;111880;111890
19.09.2018;111890;111890;111840;111870
19.09.2018;111880;111890;111850;111870
19.09.2018;111870;111890;111830;111890
19.09.2018;111880;111900;111870;111870
19.09.2018;111880;111880;111840;111840
19.09.2018;111840;111910;111820;111870
19.09.2018;111890;111910;111840;111860
19.09.2018;111880;111890;111830;111860
19.09.2018;111860;111920;111850;111900
19.09.2018;111900;111940;111870;111870
19.09.2018;111870;111880;111820;111820
19.09.2018;111840;111870;111800;111810
19.09.2018;111820;111840;111800;111810
19.09.2018;111820;111840;111800;111830
19.09.2018;111840;111840;111800;111810
19.09.2018;111810;111850;111800;111800
19.09.2018;111810;111810;111760;111790
19.09.2018;111800;111820;111750;111800
19.09.2018;111800;111830;111760;111780
19.09.2018;111780;111810;111760;111770
19.09.2018;111770;111800;111670;111680
19.09.2018;111690;111770;111670;111740
19.09.2018;111750;111820;111740;111770
19.09.2018;111770;111810;111740;111760
19.09.2018;111780;111850;111760;111830
19.09.2018;111840;111950;111840;111930
19.09.2018;111940;111970;111860;111890
19.09.2018;111890;111910;111870;111870
19.09.2018;111890;111940;111870;111910
19.09.2018;111920;111950;111910;111950
19.09.2018;111930;111960;111890;111890
19.09.2018;111900;111920;111880;111890
19.09.2018;111900;111940;111860;111880
19.09.2018;111900;111910;111850;111860
19.09.2018;111860;111880;111810;111840
19.09.2018;111850;111880;111830;111850
19.09.2018;111850;111860;111820;111830
19.09.2018;111840;111860;111800;111820
19.09.2018;111820;111860;111820;111830
19.09.2018;111830;111850;111820;111850
19.09.2018;111850;111850;111800;111840
19.09.2018;111830;111850;111800;111810
19.09.2018;111810;111840;111790;111790
19.09.2018;111800;111820;111770;111800
19.09.2018;111810;111820;111790;111790
19.09.2018;111800;111830;111780;111800
19.09.2018;111800;111820;111770;111800
19.09.2018;111810;111850;111780;111780
19.09.2018;111780;111780;111750;111770
19.09.2018;111780;111820;111770;111800
19.09.2018;111810;111830;111800;111800
19.09.2018;111820;111850;111810;111830
19.09.2018;111850;111860;111830;111860
19.09.2018;111850;111880;111850;111860
19.09.2018;111850;111880;111830;111850
19.09.2018;111840;111910;111840;111900
19.09.2018;111910;111930;111870;111910
19.09.2018;111900;111900;111850;111850
19.09.2018;111850;111880;111850;111860
19.09.2018;111860;111880;111850;111860
19.09.2018;111870;111880;111830;111840
19.09.2018;111840;111850;111820;111840
19.09.2018;111830;111880;111830;111880
19.09.2018;111860;111880;111830;111840
19.09.2018;111830;111880;111820;111860
19.09.2018;111850;111920;111850;111900
19.09.2018;111890;111930;111870;111890
19.09.2018;111880;111900;111820;111860
19.09.2018;111840;111850;111770;111800
19.09.2018;111800;111810;111700;111700
19.09.2018;111710;111720;111620;111640
